dataset,split_index,num_nodes,num_edges,num_features,num_classes,train_ratio,val_ratio,test_ratio,core_degree_corr,core_topk_label_agreement_corr,core_edge_label_agreement_corr,raw_accuracy,prop1_accuracy,prop2_accuracy,residual_accuracy,prop_residual_concat_accuracy,low_core_topk_positive_label_agreement,low_core_edge_label_agreement,low_core_raw_test_error,low_core_prop2_test_error,mid_core_topk_positive_label_agreement,mid_core_edge_label_agreement,mid_core_raw_test_error,mid_core_prop2_test_error,high_core_topk_positive_label_agreement,high_core_edge_label_agreement,high_core_raw_test_error,high_core_prop2_test_error,high_minus_low_topk_agreement,high_minus_low_raw_error,high_minus_low_prop2_error
Cora,0,2708,10556,1433,7,0.10044313222169876,0.10044313222169876,0.7991137504577637,-0.021565504372119904,0.11504263430833817,0.22945302724838257,0.6427911275415896,0.8179297597042514,0.8350277264325323,0.28927911275415896,0.805452865064695,0.7643964290618896,0.7533469796180725,0.42398884892463684,0.19246861338615417,0.8159645199775696,0.8210304379463196,0.3397260308265686,0.15890410542488098,0.8343023061752319,0.9010916352272034,0.3082287311553955,0.14365410804748535,0.06990587711334229,-0.11576011776924133,-0.04881450533866882
Cora,1,2708,10556,1433,7,0.10044313222169876,0.10044313222169876,0.7991137504577637,-0.021565504372119904,0.11504263430833817,0.22945302724838257,0.6571164510166358,0.8142329020332717,0.8308687615526802,0.3077634011090573,0.8146950092421442,0.7643964290618896,0.7533469796180725,0.4137931168079376,0.19310344755649567,0.8159645199775696,0.8210304379463196,0.34336525201797485,0.18057455122470856,0.8343023061752319,0.9010916352272034,0.26977401971817017,0.13276836276054382,0.06990587711334229,-0.14401909708976746,-0.06033508479595184
Cora,2,2708,10556,1433,7,0.10044313222169876,0.10044313222169876,0.7991137504577637,-0.021565504372119904,0.11504263430833817,0.22945302724838257,0.6427911275415896,0.8156192236598891,0.8373382624768947,0.3123844731977819,0.8193160813308688,0.7643964290618896,0.7533469796180725,0.41111111640930176,0.17499999701976776,0.8159645199775696,0.8210304379463196,0.35744088888168335,0.1627260148525238,0.8343023061752319,0.9010916352272034,0.30344828963279724,0.1503448337316513,0.06990587711334229,-0.10766282677650452,-0.024655163288116455
Cora,3,2708,10556,1433,7,0.10044313222169876,0.10044313222169876,0.7991137504577637,-0.021565504372119904,0.11504263430833817,0.22945302724838257,0.6441774491682071,0.8317929759704251,0.8521256931608133,0.30268022181146026,0.821626617375231,0.7643964290618896,0.7533469796180725,0.4444444477558136,0.1666666716337204,0.8159645199775696,0.8210304379463196,0.3562586009502411,0.13204951584339142,0.8343023061752319,0.9010916352272034,0.2663877308368683,0.1450488120317459,0.06990587711334229,-0.1780567169189453,-0.021617859601974487
Cora,4,2708,10556,1433,7,0.10044313222169876,0.10044313222169876,0.7991137504577637,-0.021565504372119904,0.11504263430833817,0.22945302724838257,0.6506469500924215,0.8207024029574861,0.8553604436229205,0.30591497227356745,0.8267097966728281,0.7643964290618896,0.7533469796180725,0.42503437399864197,0.1623108685016632,0.8159645199775696,0.8210304379463196,0.3366336524486542,0.1527581363916397,0.8343023061752319,0.9010916352272034,0.2863013744354248,0.11917807906866074,0.06990587711334229,-0.13873299956321716,-0.04313278943300247
CiteSeer,0,3327,9104,3703,6,0.10009016841650009,0.10009016841650009,0.7998196482658386,-0.0187673456966877,-0.0034415400587022305,0.16813704371452332,0.6606538895152199,0.7053739195791056,0.7230364524614806,0.2529124389327321,0.7140172867343104,0.6434851288795471,0.6279542446136475,0.3578595221042633,0.2831661105155945,0.6688458323478699,0.7069106698036194,0.339407742023468,0.2596811056137085,0.6468665599822998,0.7838826179504395,0.32054176926612854,0.28781038522720337,0.0033814311027526855,-0.037317752838134766,0.004644274711608887
CiteSeer,1,3327,9104,3703,6,0.10009016841650009,0.10009016841650009,0.7998196482658386,-0.0187673456966877,-0.0034415400587022305,0.16813704371452332,0.644118752348741,0.7166478767380684,0.7234122510334461,0.21157459601653514,0.7072529124389327,0.6434851288795471,0.6279542446136475,0.3758465051651001,0.28893905878067017,0.6688458323478699,0.7069106698036194,0.3400900959968567,0.2545045018196106,0.6468665599822998,0.7838826179504395,0.35174745321273804,0.286358505487442,0.0033814311027526855,-0.02409905195236206,-0.0025805532932281494
CiteSeer,2,3327,9104,3703,6,0.10009016841650009,0.10009016841650009,0.7998196482658386,-0.0187673456966877,-0.0034415400587022305,0.16813704371452332,0.6629086809470124,0.705749718151071,0.7155204810221721,0.21608417888012024,0.7132656895903795,0.6434851288795471,0.6279542446136475,0.3585118353366852,0.29199549555778503,0.6688458323478699,0.7069106698036194,0.32844242453575134,0.2584650218486786,0.6468665599822998,0.7838826179504395,0.3243243098258972,0.3029279410839081,0.0033814311027526855,-0.034187525510787964,0.010932445526123047
CiteSeer,3,3327,9104,3703,6,0.10009016841650009,0.10009016841650009,0.7998196482658386,-0.0187673456966877,-0.0034415400587022305,0.16813704371452332,0.6580232995114619,0.7189026681698609,0.7173994738819992,0.24276587748966555,0.7117624953025179,0.6434851288795471,0.6279542446136475,0.35593220591545105,0.28926554322242737,0.6688458323478699,0.7069106698036194,0.3214682936668396,0.2803114652633667,0.6468665599822998,0.7838826179504395,0.34891676902770996,0.2782212197780609,0.0033814311027526855,-0.007015436887741089,-0.011044323444366455
CiteSeer,4,3327,9104,3703,6,0.10009016841650009,0.10009016841650009,0.7998196482658386,-0.0187673456966877,-0.0034415400587022305,0.16813704371452332,0.6636602780909433,0.7290492296129275,0.7452085682074409,0.23412251033446074,0.7222848553175498,0.6434851288795471,0.6279542446136475,0.35545557737350464,0.2744656801223755,0.6688458323478699,0.7069106698036194,0.32236096262931824,0.2338251918554306,0.6468665599822998,0.7838826179504395,0.331088662147522,0.25589224696159363,0.0033814311027526855,-0.024366915225982666,-0.01857343316078186
PubMed,0,19717,88648,500,3,0.10001521557569504,0.10001521557569504,0.7999695539474487,-0.006069519557058811,0.03446568548679352,0.05083862319588661,0.8432764851328219,0.8487288404235085,0.8556393837570532,0.5092880238382045,0.8617891333291067,0.7829757928848267,0.7725187540054321,0.1576930433511734,0.14811266958713531,0.7902716398239136,0.789824366569519,0.16265402734279633,0.1495734602212906,0.8077932596206665,0.8148930668830872,0.14983898401260376,0.135442316532135,0.024817466735839844,-0.007854059338569641,-0.012670353055000305
PubMed,1,19717,88648,500,3,0.10001521557569504,0.10001521557569504,0.7999695539474487,-0.006069519557058811,0.03446568548679352,0.05083862319588661,0.8466366575794079,0.8481582451023901,0.8564001775185444,0.4964813288531034,0.8622963291701008,0.7829757928848267,0.7725187540054321,0.15086781978607178,0.14381079375743866,0.7902716398239136,0.789824366569519,0.16053131222724915,0.14648956060409546,0.8077932596206665,0.8148930668830872,0.14866919815540314,0.14049430191516876,0.024817466735839844,-0.00219862163066864,-0.0033164918422698975
PubMed,2,19717,88648,500,3,0.10001521557569504,0.10001521557569504,0.7999695539474487,-0.006069519557058811,0.03446568548679352,0.05083862319588661,0.8416280986495911,0.8492994357446269,0.8528498066315856,0.5081468331959678,0.8589361567235149,0.7829757928848267,0.7725187540054321,0.15816816687583923,0.15258802473545074,0.7902716398239136,0.789824366569519,0.17189863324165344,0.15204235911369324,0.8077932596206665,0.8148930668830872,0.14504538476467133,0.13691376149654388,0.024817466735839844,-0.013122782111167908,-0.01567426323890686
PubMed,3,19717,88648,500,3,0.10001521557569504,0.10001521557569504,0.7999695539474487,-0.006069519557058811,0.03446568548679352,0.05083862319588661,0.8418816965700882,0.8549419894756863,0.8569707728396627,0.5149939770493882,0.8614721359284854,0.7829757928848267,0.7725187540054321,0.16022835671901703,0.1497621387243271,0.7902716398239136,0.789824366569519,0.16257843375205994,0.14413386583328247,0.8077932596206665,0.8148930668830872,0.15154972672462463,0.13519680500030518,0.024817466735839844,-0.008678629994392395,-0.014565333724021912
PubMed,4,19717,88648,500,3,0.10001521557569504,0.10001521557569504,0.7999695539474487,-0.006069519557058811,0.03446568548679352,0.05083862319588661,0.8479680466620174,0.850060229506118,0.8532936029924555,0.5054206555506244,0.8617257338489824,0.7829757928848267,0.7725187540054321,0.14833174645900726,0.14814108610153198,0.7902716398239136,0.789824366569519,0.16111217439174652,0.1552085280418396,0.8077932596206665,0.8148930668830872,0.146674245595932,0.13682016730308533,0.024817466735839844,-0.0016575008630752563,-0.011320918798446655
