dataset,split_index,seed,split_seed,grace_accuracy,hpfs_gcl_accuracy,rpgcl_hpfs_accuracy,cg_hpfs_accuracy,best_fixed_method,best_fixed_accuracy,cg_minus_grace_light,cg_minus_hpfs_gcl,cg_minus_rpgcl_hpfs,cg_minus_best_fixed,gate_alpha,gate_soft_alpha,gate_signal_value,gate_threshold,gate_raw_preserved
CiteSeer,0,0,2026,0.6903419767004886,0.705749718151071,0.7132656895903795,0.7132656895903795,rpgcl_hpfs,0.7132656895903795,0.022923712889890924,0.007515971439308489,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,1,0,2027,0.7046223224351748,0.7158962795941376,0.7166478767380684,0.7166478767380684,rpgcl_hpfs,0.7166478767380684,0.012025554302893648,0.0007515971439308045,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,2,0,2028,0.6888387824126269,0.6993611424276588,0.7166478767380684,0.7166478767380684,rpgcl_hpfs,0.7166478767380684,0.02780909432544154,0.017286734310409613,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,3,0,2029,0.7140172867343104,0.7128898910184142,0.7189026681698609,0.7189026681698609,rpgcl_hpfs,0.7189026681698609,0.0048853814355505065,0.006012777151446769,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,4,0,2030,0.6997369409996242,0.7155204810221721,0.7264186396091695,0.7162720781661029,rpgcl_hpfs,0.7264186396091695,0.016535137166478697,0.0007515971439308045,-0.010146561443066582,-0.010146561443066582,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,5,0,2031,0.7065013152950019,0.7185268695978956,0.7087561067267945,0.7087561067267945,hpfs_gcl,0.7185268695978956,0.0022547914317925244,-0.009770762871101124,0.0,-0.009770762871101124,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,6,0,2032,0.6925967681322811,0.7125140924464487,0.7275460353250658,0.7275460353250658,rpgcl_hpfs,0.7275460353250658,0.03494926719278468,0.015031942878617088,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,7,0,2033,0.7128898910184142,0.7267944381811349,0.7181510710259301,0.7181510710259301,hpfs_gcl,0.7267944381811349,0.005261180007515964,-0.00864336715520475,0.0,-0.00864336715520475,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,8,0,2034,0.6850807966929726,0.6952273581360391,0.7170236753100339,0.7170236753100339,rpgcl_hpfs,0.7170236753100339,0.03194287861706124,0.021796317173994773,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
CiteSeer,9,0,2035,0.6986095452837279,0.7140172867343104,0.7249154453213078,0.7249154453213078,rpgcl_hpfs,0.7249154453213078,0.026305900037579932,0.010898158586997386,0.0,0.0,1.0,0.686618983745575,0.14568719267845154,0.13,True
Cora,0,0,2026,0.7957486136783734,0.7971349353049908,0.7920517560073937,0.7957486136783734,hpfs_gcl,0.7971349353049908,0.0,-0.0013863216266174483,0.003696857670979603,-0.0013863216266174483,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,1,0,2027,0.8036044362292052,0.8022181146025879,0.7795748613678374,0.805452865064695,hpfs_gcl,0.8022181146025879,0.001848428835489857,0.0032347504621071943,0.025878003696857665,0.0032347504621071943,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,2,0,2028,0.8012939001848429,0.8073012939001848,0.7846580406654344,0.8040665434380776,hpfs_gcl,0.8073012939001848,0.0027726432532346745,-0.0032347504621071943,0.019408502772643166,-0.0032347504621071943,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,3,0,2029,0.7828096118299446,0.7989833641404805,0.7754158964879853,0.7952865064695009,hpfs_gcl,0.7989833641404805,0.012476894639556368,-0.003696857670979603,0.019870609981515686,-0.003696857670979603,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,4,0,2030,0.7754158964879853,0.7703327171903882,0.7777264325323475,0.7999075785582255,rpgcl_hpfs,0.7777264325323475,0.024491682070240217,0.02957486136783727,0.02218114602587795,0.02218114602587795,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,5,0,2031,0.7902033271719039,0.7989833641404805,0.7795748613678374,0.8096118299445472,hpfs_gcl,0.7989833641404805,0.019408502772643277,0.010628465804066622,0.030036968576709788,0.010628465804066622,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,6,0,2032,0.7994454713493531,0.7994454713493531,0.7855822550831792,0.8211645101663586,hpfs_gcl,0.7994454713493531,0.021719038817005543,0.021719038817005543,0.03558225508317936,0.021719038817005543,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,7,0,2033,0.7952865064695009,0.8142329020332717,0.7740295748613678,0.8073012939001848,hpfs_gcl,0.8142329020332717,0.012014787430683849,-0.006931608133086908,0.03327171903881698,-0.006931608133086908,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,8,0,2034,0.7878927911275416,0.794362292051756,0.7698706099815157,0.7925138632162662,hpfs_gcl,0.794362292051756,0.004621072088724532,-0.001848428835489857,0.02264325323475047,-0.001848428835489857,0.0,0.28756701946258545,0.1118554025888443,0.13,False
Cora,9,0,2035,0.7939001848428835,0.8114602587800369,0.7749537892791127,0.7860443622920518,hpfs_gcl,0.8114602587800369,-0.007855822550831726,-0.025415896487985146,0.011090573012939031,-0.025415896487985146,0.0,0.28756701946258545,0.1118554025888443,0.13,False
PubMed,0,0,2026,0.8357319469980347,0.8345273568756736,0.8494262347048754,0.8495530336651239,rpgcl_hpfs,0.8494262347048754,0.013821086667089255,0.015025676789450326,0.00012679896024847537,0.00012679896024847537,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,1,0,2027,0.8370633360806441,0.8343371584353009,0.8579217650415266,0.8578583655614024,rpgcl_hpfs,0.8579217650415266,0.020795029480758287,0.023521207126101507,-6.339948012423768e-05,-6.339948012423768e-05,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,2,0,2028,0.8342737589551765,0.8338299625943068,0.849806631585621,0.8499334305458696,rpgcl_hpfs,0.849806631585621,0.015659671590693036,0.01610346795156281,0.0001267989602485864,0.0001267989602485864,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,3,0,2029,0.8357953464781589,0.8366829391998986,0.8489824383440056,0.8488556393837571,rpgcl_hpfs,0.8489824383440056,0.013060292905598181,0.01217270018385852,-0.00012679896024847537,-0.00012679896024847537,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,4,0,2030,0.8311037849489634,0.8277436125023775,0.8493628352247512,0.8493628352247512,rpgcl_hpfs,0.8493628352247512,0.01825905027578778,0.02161922272237371,0.0,0.0,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,5,0,2031,0.8328789703924427,0.8328789703924427,0.8492360362645026,0.8491726367843784,rpgcl_hpfs,0.8492360362645026,0.016293666391935635,0.016293666391935635,-6.339948012423768e-05,-6.339948012423768e-05,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,6,0,2032,0.8378241298421353,0.8388385215241235,0.8536106003930768,0.853673999873201,rpgcl_hpfs,0.8536106003930768,0.01584987003106575,0.014835478349077502,6.339948012423768e-05,6.339948012423768e-05,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,7,0,2033,0.8290116021048627,0.8344005579154251,0.8530400050719584,0.8528498066315856,rpgcl_hpfs,0.8530400050719584,0.023838204526722917,0.018449248716160493,-0.00019019844037282407,-0.00019019844037282407,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,8,0,2034,0.8275534140620047,0.8313573828694605,0.8485386419831358,0.84860204146326,rpgcl_hpfs,0.8485386419831358,0.02104862740125535,0.017244658593799533,6.339948012423768e-05,6.339948012423768e-05,1.0,0.9707305431365967,0.20003007352352142,0.13,True
PubMed,9,0,2035,0.8297089963862296,0.836048944398656,0.8518354149495974,0.8515184175489761,rpgcl_hpfs,0.8518354149495974,0.021809421162746423,0.015469473150320101,-0.00031699740062129944,-0.00031699740062129944,1.0,0.9707305431365967,0.20003007352352142,0.13,True
